AP,BAIRRO,LOGRADOURO,INÍCIO,FIM ,LADO,VAGAS,TEMPO DE PERMANÊNCIA,PERÍODO DE FUNCIONAMENTO,POSIÇÃO,LOCALIZAÇÃO,OBSERVAÇÃO,PORTARIA Nº
1.0,BENFICA,RUA SÃO LUIZ GONZAGA,RUA PREF.OLÍMPIO DE MELO,RUA COUTO DE MAGALHÃES,ÍMPAR,11,ROTATIVO 2H (dias/horários especiais),SÁB DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 2201-2279,,28.009 D (DO 17/09/2004)
1.0,BENFICA,RUA SEN.BERNARDO MONTEIRO,RUA PREF.OLÍMPIO DE MELO,RUA COUTO DE MAGALHÃES,PAR,35,ROTATIVO 2H (dias/horários especiais),SÁB DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 18-88,,28.009 D (DO 17/09/2004)
1.0,CAJU,RUA MONSENHOR  MANUEL GOMES,,,IMPAR,12,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",A 60 GRAUS DA VIA,"NA BAIA, LADO OPOSTO ENTRE O Nº:362 E O PORTÃO DE ACESSO AO CEM. SÃO FCO.XAVIER, SENTIDO CRESCENTE DE NUMERAÇÃO DA VIA",,34.968 (DO 22/08/2006)
1.0,CAJU,RUA MONSENHOR  MANUEL GOMES,,,IMPAR,26,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",A 60 GRAUS DA VIA,ENTRE OS Nº:348-354 (DO POSTE LIGHT 2888/145 AO 2888/153),,32.956 (DO 08/02/2006)
1.0,CENTRO,AV ALMIRANTE BARROSO,AV RIO BRANCO,RUA SENADOR DANTAS,ÍMPAR,5,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,LADO OPOSTO Nº: 6 ,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV ALMIRANTE BARROSO,AV RIO BRANCO,RUA SENADOR DANTAS,ÍMPAR,11,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,JUNTO AO LGO DA CARIOCA,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV ALMIRANTE BARROSO,RUA MÉXICO,AV RIO BRANCO,DIREITO,10,ÚNICO (EM EVENTOS),EM EVENTOS,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV ALMIRANTE BARROSO,RUA MÉXICO,AV RIO BRANCO,ÍMPAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,LADO OPOSTO Nº: 62,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,AV CALÓGERAS,AV PRES. ANTÔNIO CARLOS,PAR,38,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  454-406,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,AV CALÓGERAS,AV PRES. ANTÔNIO CARLOS,CANTEIRO CENTRAL,17,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
